Code,Tên,Family,Cultivation duration (weeks),Strong sunlight requirement(1/no),Harvested kg per square meter,Multiple harvest (weeks)
1,Rau diếp,Asteraceae,5,0,"2-3.5",0
2,Xà lách xoong,Asteraceae,5,0,"2-3.5",0
3,XÀ LÁCH CUỘN,Asteraceae,5,0,"2-3.5",0
4,Xà lách lolo,Asteraceae,5,0,"2-3.5",0
5,Xà lách Ezabel,Asteraceae,5,0,"2-3.5",0
6,Xà lách Radicchio,Asteraceae,5,0,"2-3.5",0
7,Xà lách Salanova,Asteraceae,5,1,"2-3.5",0
8,Cà tím Nhật Bản#&VN,Solanaceae,10,0,"3.0-5.0",16
9,MƯỚP HƯƠNG TƯƠI#&VN,Cucurbitaceae,10,1,"4.0-5.0",12
10,Ớt chuông xanh ( Green Capsicum) packing: 10kg (NW)#&VN,Solanaceae,13,0,"1.0-2.5",20
11,Ớt chuông baby ( Baby Capsicum ) packing: 6kg/ctn (NW)#&VN,Solanaceae,13,0,"1.0-2.5",20
12,AG-693#&Ớt xanh - Green Pimento (cắt 1/2 trái sống đông lạnh),Solanaceae,16,1,"0.8-1.0",20
13,"ĐẬU HÀ LAN ĐÔNG LẠNH ĐÃ QUA SƠ CHẾ THÔNG THƯỜNG",Fabaceae,7,1,"1.2-1.5",4
14,NPLDV01#&Đậu cove đông lạnh - IQF GREEN BEAN,Fabaceae,7,1,"1.2-1.5",4
15,RAU DỀN#&VN,Fabaceae,4,1,"0.4-0.7",0
16,Cần tây tươi :hàng mới 100%#&VN,Apiaceae,5,1,"4.0-4.5",0
17,Rau cần,Apiaceae,4,1,"0.7-1.0",0
18,Dưa bạch kim,Cucurbitaceae,12,1,"7.0-7.5",0
19,Dưa kim long,Cucurbitaceae,12,1,"7.0-7.5",0
20,Cà chua nova,Solanaceae,8,0,"5.0-7.0",24
21,Cà chua canary,Solanaceae,8,0,"9.0-10.0",24
22,Cà chua cherry,Solanaceae,8,0,"7.0-9.0",24
23,Ớt ngọt Palermo,Solanaceae,10,0,"17.0-18.0",32
24,Dâu tây Hân,Rosaceae,24,0,"0.7-1.0",32
25,Dưa chuột baby,Solanaceae,5,0,"9.0-11.0",12