Week/Code,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1,1.9,1.6,2.1,1.5,2.1,1.9,2.9,0.51,0.8,2.4,3.3,1.51,1.4,0.95,0.45,1.9,0.9,3.04,2.82,4.9,4.0,2.85,4.0,9.0,0.9
2,2.0,1.65,2.0,1.5,2.2,2.0,3.0,0.52,0.8,1.95,3.4,1.51,1.4,0.9,0.45,1.9,1.0,3.04,2.82,4.9,4.0,2.85,4.0,8.7,1.3
3,2.0,1.7,2.0,1.5,2.2,2.0,3.0,0.51,0.8,2.2,3.46,1.51,1.4,0.9,0.5,1.9,1.0,2.6,2.17,4.9,4.0,2.85,3.5,8.7,0.9
4,1.9,1.7,1.9,1.4,2.2,2.0,3.0,0.5,0.96,2.36,3.46,2.61,1.38,0.95,0.5,1.9,1.0,2.6,2.17,5.2,4.3,3.1,3.5,8.7,0.9
5,1.8,1.7,1.8,1.5,2.2,2.1,3.1,0.5,0.96,1.6,3.46,1.51,1.38,0.95,0.5,1.95,1.1,2.6,2.17,5.2,4.3,3.1,3.5,9.0,1.3
6,1.9,1.7,3.4,1.6,2.2,2.2.61,3.1,0.49,0.96,2.0,3.46,1.5,1.38,0.95,0.45,2.0,1.0,2.6,2.17,5.2,4.3,3.1,3.5,10.0,1.3
7,1.9,1.8,3.5,1.7,2.3,2.3,3.1,0.5,0.97,1.7,3.3,1.5,1.38,0.95,0.45,2.0,1.0,2.6,2.17,5.2,4.3,3.1,3.4,9.0,1.3
8,1.9,1.8,3.5,1.7,2.3,2.3,3.2,0.48,0.8,2.1,3.3,1.5,1.38,0.95,0.45,2.0,1.0,2.6,2.17,5.2,4.3,3.1,3.4,10.0,1.3
9,1.9,1.9,3.4,2.0,2.2,2.3,3.5,0.48,0.8,1.5,3.3,1.51,1.38,1.16,0.45,2.0,1.0,2.6,2.17,4.9,4.0,2.85,4.0,9.0,0.9
10,2.11,1.8,3.5,2.0,2.2,2.2,3.5,0.48,0.8,2.7,3.4,2.6,1.38,1.16,0.45,2.0,0.9,2.6,2.17,4.9,4.0,2.85,4.0,10.0,0.9
11,2.2,1.8,3.5,2.0,2.2,2.1,3.1,0.48,0.8,2.7,3.41,2.6,1.38,1.16,0.5,2.0,1.0,2.6,2.17,4.9,4.0,2.85,4.0,9.0,0.9
12,2.2,1.9,3.5,1.75,2.2,2.1,3.3,0.48,0.8,2.7,3.41,2.6,1.38,1.16,0.5,2.1,1.0,3.04,2.82,4.9,4.0,2.85,4.0,10.0,0.9